club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
1. FC Köln,Robin Hack,22,Germany,Left Winger,LW,2000000.0,1.FC Nuremberg,Germany,2500000.0,in,summer,1 Bundesliga,2021,False,
1. FC Köln,Guilherme Ramos,23,Portugal,Centre-Back,CB,1200000.0,Feirense,Portugal,1200000.0,in,summer,1 Bundesliga,2021,False,
1. FC Köln,Florian Krüger,22,Germany,Centre-Forward,CF,1800000.0,Erzgebirge Aue,Germany,1000000.0,in,summer,1 Bundesliga,2021,False,
1. FC Köln,Masaya Okugawa,25,Japan,Attacking Midfield,AM,5000000.0,RB Salzburg,Austria,1000000.0,in,summer,1 Bundesliga,2021,False,
1. FC Köln,Bryan Lasme,22,France,Right Winger,RW,1000000.0,FC Sochaux,France,800000.0,in,summer,1 Bundesliga,2021,False,
1. FC Köln,Patrick Wimmer,20,Austria,Right Winger,RW,8000000.0,Austria Vienna,Austria,700000.0,in,summer,1 Bundesliga,2021,False,
1. FC Köln,Stefanos Kapino,27,Greece,Goalkeeper,GK,700000.0,Werder Bremen,Germany,300000.0,in,summer,1 Bundesliga,2021,False,
1. FC Köln,Lennart Czyborra,22,Germany,Left-Back,LB,2300000.0,Genoa,Italy,85000.0,in,summer,1 Bundesliga,2021,True,loan with fee
1. FC Köln,Janni Serra,23,Germany,Centre-Forward,CF,1800000.0,Holstein Kiel,Germany,0.0,in,summer,1 Bundesliga,2021,False,
1. FC Köln,Sebastian Vasiliadis,23,Greece,Central Midfield,CM,1800000.0,SC Paderborn,Germany,0.0,in,summer,1 Bundesliga,2021,False,
1. FC Köln,Alessandro Schöpf,27,Austria,Central Midfield,CM,2500000.0,FC Schalke 04,Germany,0.0,in,summer,1 Bundesliga,2021,False,
1. FC Köln,Edimilson Fernandes,25,Switzerland,Central Midfield,CM,2000000.0,1.FSV Mainz 05,Germany,0.0,in,summer,1 Bundesliga,2021,True,free loan
1. FC Köln,Andrés Andrade,22,Panama,Centre-Back,CB,1500000.0,LASK,Austria,0.0,in,summer,1 Bundesliga,2021,True,free loan
1. FC Köln,Sebastian Müller,20,Germany,Centre-Forward,CF,350000.0,VfL Osnabrück,Germany,0.0,in,summer,1 Bundesliga,2021,True,end of loan
1. FC Köln,Noel Niemann,21,Germany,Left Winger,LW,350000.0,Türkgücü Münch.,Germany,0.0,in,summer,1 Bundesliga,2021,True,end of loan
1. FC Köln,Can Hayri Özkan,21,Germany,Defensive Midfield,DM,150000.0,Naestved BK,Denmark,0.0,in,summer,1 Bundesliga,2021,True,end of loan
1. FC Köln,Mervin Kalac,19,Germany,Centre-Forward,CF,,SV Lippstadt 08,Germany,0.0,in,summer,1 Bundesliga,2021,True,end of loan
1. FC Köln,Joey Müller,20,Germany,Left-Back,LB,125000.0,Wuppertaler SV,Germany,0.0,in,summer,1 Bundesliga,2021,True,end of loan
1. FC Köln,Marcel Hartel,25,Germany,Central Midfield,CM,1800000.0,FC St. Pauli,Germany,350000.0,out,summer,1 Bundesliga,2021,False,
1. FC Köln,Christian Gebauer,27,Austria,Right Winger,RW,500000.0,FC Ingolstadt,Germany,150000.0,out,summer,1 Bundesliga,2021,True,loan with fee
1. FC Köln,Nils Seufert,24,Germany,Central Midfield,CM,450000.0,Greuther Fürth,Germany,0.0,out,summer,1 Bundesliga,2021,False,
1. FC Köln,Jóan Símun Edmundsson,29,Faroe Islands,Second Striker,SS,500000.0,Waasl.-Beveren,Belgium,0.0,out,summer,1 Bundesliga,2021,False,
1. FC Köln,Can Hayri Özkan,21,Germany,Defensive Midfield,DM,150000.0,Düsseldorf II,Germany,0.0,out,summer,1 Bundesliga,2021,False,
1. FC Köln,Andreas Voglsammer,29,Germany,Centre-Forward,CF,1200000.0,Union Berlin,Germany,0.0,out,summer,1 Bundesliga,2021,False,
1. FC Köln,Mervin Kalac,19,Germany,Centre-Forward,CF,,SC Paderborn II,Germany,0.0,out,summer,1 Bundesliga,2021,False,
1. FC Köln,Sven Schipplock,32,Germany,Centre-Forward,CF,100000.0,Stuttgart II,Germany,0.0,out,summer,1 Bundesliga,2021,False,
1. FC Köln,Anderson Lucoqui,23,Angola,Left-Back,LB,1500000.0,1.FSV Mainz 05,Germany,0.0,out,summer,1 Bundesliga,2021,False,
1. FC Köln,Cebio Soukou,28,Benin,Right Winger,RW,550000.0,SV Sandhausen,Germany,0.0,out,summer,1 Bundesliga,2021,False,
1. FC Köln,Joey Müller,20,Germany,Left-Back,LB,125000.0,Schalke 04 II,Germany,0.0,out,summer,1 Bundesliga,2021,False,
1. FC Köln,Sebastian Müller,20,Germany,Centre-Forward,CF,350000.0,E. Braunschweig,Germany,0.0,out,summer,1 Bundesliga,2021,True,free loan
1. FC Köln,Oscar Linnér,24,Sweden,Goalkeeper,GK,300000.0,Brescia,Italy,0.0,out,summer,1 Bundesliga,2021,True,free loan
1. FC Köln,Mike van der Hoorn,28,Netherlands,Centre-Back,CB,1600000.0,FC Utrecht,Netherlands,0.0,out,summer,1 Bundesliga,2021,True,free loan
1. FC Köln,Jomaine Consbruch,19,Germany,Central Midfield,CM,450000.0,E. Braunschweig,Germany,0.0,out,summer,1 Bundesliga,2021,True,free loan
1. FC Köln,Noel Niemann,21,Germany,Left Winger,LW,350000.0,TSV Hartberg,Austria,0.0,out,summer,1 Bundesliga,2021,True,free loan
1. FC Köln,Nikolai Rehnen,24,Germany,Goalkeeper,GK,150000.0,Without Club,,,out,summer,1 Bundesliga,2021,False,
1. FC Köln,Reinhold Yabo,29,Germany,Central Midfield,CM,,,,,out,summer,1 Bundesliga,2021,False,
1. FC Köln,Michel Vlap,24,Netherlands,Attacking Midfield,AM,2000000.0,RSC Anderlecht,Belgium,0.0,out,summer,1 Bundesliga,2021,True,end of loan
1. FC Köln,Masaya Okugawa,25,Japan,Attacking Midfield,AM,5000000.0,RB Salzburg,Austria,0.0,out,summer,1 Bundesliga,2021,True,end of loan
1. FC Köln,Arne Maier,22,Germany,Central Midfield,CM,5500000.0,Hertha BSC,Germany,0.0,out,summer,1 Bundesliga,2021,True,end of loan
1. FC Köln,Ritsu Doan,23,Japan,Right Winger,RW,8000000.0,PSV Eindhoven,Netherlands,0.0,out,summer,1 Bundesliga,2021,True,end of loan
1. FC Köln,Sergio Córdova,23,Venezuela,Centre-Forward,CF,1000000.0,FC Augsburg,Germany,0.0,out,summer,1 Bundesliga,2021,True,end of loan
1. FC Köln,George Bello,20,United States,Left-Back,LB,2000000.0,Atlanta,United States,1800000.0,in,winter,1 Bundesliga,2021,False,
1. FC Köln,Burak Ince,18,Turkey,Central Midfield,CM,1000000.0,Altinordu,Turkey,500000.0,in,winter,1 Bundesliga,2021,False,
1. FC Köln,Gonzalo Castro,34,Germany,Central Midfield,CM,,Without Club,,,in,winter,1 Bundesliga,2021,False,
1. FC Köln,Oscar Linnér,24,Sweden,Goalkeeper,GK,300000.0,Brescia,Italy,0.0,in,winter,1 Bundesliga,2021,True,end of loan
1. FC Köln,Oscar Linnér,24,Sweden,Goalkeeper,GK,300000.0,GIF Sundsvall,Sweden,0.0,out,winter,1 Bundesliga,2021,True,free loan
1. FC Köln,Lennart Czyborra,22,Germany,Left-Back,LB,2300000.0,Genoa,Italy,0.0,out,winter,1 Bundesliga,2021,True,end of loan
1. FC Köln,Edimilson Fernandes,25,Switzerland,Central Midfield,CM,2000000.0,1.FSV Mainz 05,Germany,0.0,out,winter,1 Bundesliga,2021,True,end of loan
1.FC Union Berlin,Odilon Kossounou,20,Cote d'Ivoire,Centre-Back,CB,20000000.0,Club Brugge,Belgium,23000000.0,in,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Amine Adli,21,France,Right Winger,RW,12000000.0,Toulouse,France,7500000.0,in,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Mitchel Bakker,21,Netherlands,Left-Back,LB,12000000.0,Paris SG,France,7000000.0,in,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Robert Andrich,26,Germany,Central Midfield,CM,13000000.0,Union Berlin,Germany,6500000.0,in,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Piero Hincapié,19,Ecuador,Centre-Back,CB,22000000.0,CA Talleres,Argentina,6350000.0,in,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Zidan Sertdemir,16,Denmark,Central Midfield,CM,2000000.0,Nordsjaell. U19,Denmark,2500000.0,in,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Andrey Lunev,29,Russia,Goalkeeper,GK,2500000.0,Zenit S-Pb,Russia,0.0,in,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Panagiotis Retsos,22,Greece,Centre-Back,CB,2800000.0,Saint-Étienne,France,0.0,in,summer,1 Bundesliga,2021,True,end of loan
1.FC Union Berlin,Joel Pohjanpalo,26,Finland,Centre-Forward,CF,2500000.0,Union Berlin,Germany,0.0,in,summer,1 Bundesliga,2021,True,end of loan
1.FC Union Berlin,Leon Bailey,23,Jamaica,Left Winger,LW,25000000.0,Aston Villa,England,32000000.0,out,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Wendell,28,Brazil,Left-Back,LB,5000000.0,FC Porto,Portugal,4300000.0,out,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Tin Jedvaj,25,Croatia,Centre-Back,CB,4000000.0,Loko Moscow,Russia,4000000.0,out,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Demarai Gray,25,England,Left Winger,LW,22000000.0,Everton,England,2000000.0,out,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Cem Türkmen,19,Turkey,Central Midfield,CM,400000.0,Clermont Foot,France,0.0,out,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Aleksandar Dragovic,30,Austria,Centre-Back,CB,5000000.0,Red Star,Serbia,0.0,out,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Sven Bender,32,Germany,Defensive Midfield,DM,,TSV Brannenburg,Germany,0.0,out,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Lars Bender,32,Germany,Defensive Midfield,DM,,TSV Brannenburg,Germany,0.0,out,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Yannik Schlößer,19,Germany,Right Winger,RW,75000.0,Nuremberg II,Germany,0.0,out,summer,1 Bundesliga,2021,True,free loan
1.FC Union Berlin,Joel Pohjanpalo,26,Finland,Centre-Forward,CF,2500000.0,C. Rizespor,Turkey,0.0,out,summer,1 Bundesliga,2021,True,free loan
1.FC Union Berlin,Lennart Grill,22,Germany,Goalkeeper,GK,1000000.0,Brann,Norway,0.0,out,summer,1 Bundesliga,2021,True,free loan
1.FC Union Berlin,Mitchell Weiser,27,Germany,Right-Back,RB,2000000.0,Werder Bremen,Germany,0.0,out,summer,1 Bundesliga,2021,True,free loan
1.FC Union Berlin,Santiago Arias,29,Colombia,Right-Back,RB,4000000.0,Atlético Madrid,Spain,0.0,out,summer,1 Bundesliga,2021,True,end of loan
1.FC Union Berlin,Sardar Azmoun,27,Iran,Centre-Forward,CF,18000000.0,Zenit S-Pb,Russia,2500000.0,in,winter,1 Bundesliga,2021,False,
1.FC Union Berlin,Lennart Grill,22,Germany,Goalkeeper,GK,1000000.0,Brann,Norway,0.0,in,winter,1 Bundesliga,2021,True,end of loan
1.FC Union Berlin,Emrehan Gedikli,18,Germany,Centre-Forward,CF,1200000.0,Trabzonspor,Turkey,800000.0,out,winter,1 Bundesliga,2021,False,
1.FC Union Berlin,Panagiotis Retsos,23,Greece,Centre-Back,CB,2800000.0,Hellas Verona,Italy,0.0,out,winter,1 Bundesliga,2021,False,
1.FC Union Berlin,Nadiem Amiri,25,Germany,Central Midfield,CM,6000000.0,Genoa,Italy,0.0,out,winter,1 Bundesliga,2021,True,free loan
1.FSV Mainz 05,David Raum,23,Germany,Left-Back,LB,26000000.0,Greuther Fürth,Germany,0.0,in,summer,1 Bundesliga,2021,False,
1.FSV Mainz 05,Angelo Stiller,20,Germany,Defensive Midfield,DM,7000000.0,FC Bayern II,Germany,0.0,in,summer,1 Bundesliga,2021,False,
1.FSV Mainz 05,Sebastian Rudy,31,Germany,Defensive Midfield,DM,1500000.0,FC Schalke 04,Germany,0.0,in,summer,1 Bundesliga,2021,False,
1.FSV Mainz 05,Chris Richards,21,United States,Centre-Back,CB,12000000.0,Bayern Munich,Germany,0.0,in,summer,1 Bundesliga,2021,True,free loan
1.FSV Mainz 05,Justin Hoogma,23,Netherlands,Centre-Back,CB,1000000.0,FC Utrecht,Netherlands,0.0,in,summer,1 Bundesliga,2021,True,end of loan
1.FSV Mainz 05,Jacob Bruun Larsen,22,Denmark,Left Winger,LW,6000000.0,RSC Anderlecht,Belgium,0.0,in,summer,1 Bundesliga,2021,True,end of loan
1.FSV Mainz 05,Ishak Belfodil,29,Algeria,Centre-Forward,CF,2200000.0,Hertha BSC,Germany,500000.0,out,summer,1 Bundesliga,2021,False,
1.FSV Mainz 05,Maximilian Beier,18,Germany,Centre-Forward,CF,3000000.0,Hannover 96,Germany,50000.0,out,summer,1 Bundesliga,2021,True,loan with fee
1.FSV Mainz 05,Justin Hoogma,23,Netherlands,Centre-Back,CB,1000000.0,Greuther Fürth,Germany,0.0,out,summer,1 Bundesliga,2021,True,free loan
1.FSV Mainz 05,Konstantinos Stafylidis,27,Greece,Left-Back,LB,1800000.0,VfL Bochum,Germany,0.0,out,summer,1 Bundesliga,2021,True,free loan
1.FSV Mainz 05,Ryan Sessegnon,21,England,Left Midfield,LM,22000000.0,Spurs,England,0.0,out,summer,1 Bundesliga,2021,True,end of loan
1.FSV Mainz 05,Sebastian Rudy,31,Germany,Defensive Midfield,DM,1500000.0,FC Schalke 04,Germany,0.0,out,summer,1 Bundesliga,2021,True,end of loan
1.FSV Mainz 05,Chris Richards,21,United States,Centre-Back,CB,12000000.0,Bayern Munich,Germany,0.0,out,summer,1 Bundesliga,2021,True,end of loan
1.FSV Mainz 05,Justin Che,18,United States,Centre-Back,CB,3000000.0,Dallas,United States,0.0,in,winter,1 Bundesliga,2021,True,free loan
1.FSV Mainz 05,Lucas Ribeiro,22,Brazil,Centre-Back,CB,2000000.0,Internacional,Brazil,0.0,in,winter,1 Bundesliga,2021,True,end of loan
1.FSV Mainz 05,João Klauss,24,Brazil,Centre-Forward,CF,3000000.0,Standard Liège,Belgium,0.0,in,winter,1 Bundesliga,2021,True,end of loan
1.FSV Mainz 05,Bruno Nazário,26,Brazil,Attacking Midfield,AM,800000.0,América-MG,Brazil,0.0,in,winter,1 Bundesliga,2021,True,end of loan
1.FSV Mainz 05,Justin Hoogma,23,Netherlands,Centre-Back,CB,1000000.0,Greuther Fürth,Germany,0.0,in,winter,1 Bundesliga,2021,True,end of loan
1.FSV Mainz 05,João Klauss,24,Brazil,Centre-Forward,CF,3000000.0,Sint-Truiden,Belgium,200000.0,out,winter,1 Bundesliga,2021,True,loan with fee
1.FSV Mainz 05,Sargis Adamyan,28,Armenia,Centre-Forward,CF,2500000.0,Club Brugge,Belgium,100000.0,out,winter,1 Bundesliga,2021,True,loan with fee
1.FSV Mainz 05,Joshua Brenet,27,Netherlands,Right-Back,RB,2000000.0,Twente FC,Netherlands,0.0,out,winter,1 Bundesliga,2021,False,
1.FSV Mainz 05,Bruno Nazário,26,Brazil,Attacking Midfield,AM,800000.0,Vasco da Gama,Brazil,0.0,out,winter,1 Bundesliga,2021,False,
1.FSV Mainz 05,Justin Hoogma,23,Netherlands,Centre-Back,CB,1000000.0,Heracles Almelo,Netherlands,,out,winter,1 Bundesliga,2021,False,
1.FSV Mainz 05,Melayro Bogarde,19,Netherlands,Defensive Midfield,DM,1200000.0,FC Groningen,Netherlands,0.0,out,winter,1 Bundesliga,2021,True,free loan
1.FSV Mainz 05,Lucas Ribeiro,23,Brazil,Centre-Back,CB,2000000.0,Ceará SC,Brazil,0.0,out,winter,1 Bundesliga,2021,True,free loan
1.FSV Mainz 05,Mijat Gacinovic,26,Serbia,Attacking Midfield,AM,2500000.0,Panathinaikos,Greece,0.0,out,winter,1 Bundesliga,2021,True,free loan
Arminia Bielefeld,Suat Serdar,24,Germany,Central Midfield,CM,8000000.0,FC Schalke 04,Germany,8000000.0,in,summer,1 Bundesliga,2021,False,
Arminia Bielefeld,Marco Richter,23,Germany,Right Winger,RW,6000000.0,FC Augsburg,Germany,7100000.0,in,summer,1 Bundesliga,2021,False,
Arminia Bielefeld,Myziane Maolida,22,France,Left Winger,LW,3000000.0,OGC Nice,France,4000000.0,in,summer,1 Bundesliga,2021,False,
Arminia Bielefeld,Jurgen Ekkelenkamp,21,Netherlands,Central Midfield,CM,5000000.0,Ajax,Netherlands,3000000.0,in,summer,1 Bundesliga,2021,False,
Arminia Bielefeld,Oliver Christensen,22,Denmark,Goalkeeper,GK,3000000.0,Odense BK,Denmark,3000000.0,in,summer,1 Bundesliga,2021,False,
Arminia Bielefeld,Ishak Belfodil,29,Algeria,Centre-Forward,CF,2200000.0,TSG Hoffenheim,Germany,500000.0,in,summer,1 Bundesliga,2021,False,
Arminia Bielefeld,Kevin-Prince Boateng,34,Ghana,Attacking Midfield,AM,900000.0,Monza,Italy,0.0,in,summer,1 Bundesliga,2021,False,
Arminia Bielefeld,Stevan Jovetic,31,Montenegro,Centre-Forward,CF,2500000.0,Monaco,France,0.0,in,summer,1 Bundesliga,2021,False,
Arminia Bielefeld,Dennis Jastrzembski,21,Germany,Left Winger,LW,800000.0,Waldh. Mannheim,Germany,0.0,in,summer,1 Bundesliga,2021,True,end of loan
Arminia Bielefeld,Arne Maier,22,Germany,Central Midfield,CM,5500000.0,Arm. Bielefeld,Germany,0.0,in,summer,1 Bundesliga,2021,True,end of loan
Arminia Bielefeld,Davie Selke,26,Germany,Centre-Forward,CF,1800000.0,Werder Bremen,Germany,0.0,in,summer,1 Bundesliga,2021,True,end of loan
Arminia Bielefeld,Matheus Cunha,22,Brazil,Centre-Forward,CF,30000000.0,Atlético Madrid,Spain,26000000.0,out,summer,1 Bundesliga,2021,False,
Arminia Bielefeld,Jhon Córdoba,28,Colombia,Centre-Forward,CF,13000000.0,Krasnodar,Russia,20000000.0,out,summer,1 Bundesliga,2021,False,
Arminia Bielefeld,Luca Netz,18,Germany,Left-Back,LB,6500000.0,Bor. M'gladbach,Germany,2000000.0,out,summer,1 Bundesliga,2021,False,
Arminia Bielefeld,Arne Maier,22,Germany,Central Midfield,CM,5500000.0,FC Augsburg,Germany,500000.0,out,summer,1 Bundesliga,2021,True,loan with fee
Arminia Bielefeld,Mathew Leckie,30,Australia,Left Winger,LW,1000000.0,Melbourne City,Australia,0.0,out,summer,1 Bundesliga,2021,False,
Arminia Bielefeld,Javairô Dilrosun,23,Netherlands,Left Winger,LW,6000000.0,G. Bordeaux,France,0.0,out,summer,1 Bundesliga,2021,True,free loan
Arminia Bielefeld,Daishawn Redan,20,Netherlands,Centre-Forward,CF,1000000.0,PEC Zwolle,Netherlands,0.0,out,summer,1 Bundesliga,2021,True,free loan
Arminia Bielefeld,Dodi Lukébakio,23,Belgium,Right Winger,RW,7500000.0,VfL Wolfsburg,Germany,0.0,out,summer,1 Bundesliga,2021,True,free loan
Arminia Bielefeld,Omar Alderete,24,Paraguay,Centre-Back,CB,7000000.0,Valencia,Spain,0.0,out,summer,1 Bundesliga,2021,True,free loan
Arminia Bielefeld,Jessic Ngankam,20,Germany,Centre-Forward,CF,2000000.0,Greuther Fürth,Germany,0.0,out,summer,1 Bundesliga,2021,True,free loan
Arminia Bielefeld,Eduard Löwen,24,Germany,Central Midfield,CM,2000000.0,VfL Bochum,Germany,0.0,out,summer,1 Bundesliga,2021,True,free loan
Arminia Bielefeld,Sami Khedira,34,Germany,Central Midfield,CM,,,,,out,summer,1 Bundesliga,2021,False,
Arminia Bielefeld,Nemanja Radonjić,25,Serbia,Left Winger,LW,4000000.0,Marseille,France,0.0,out,summer,1 Bundesliga,2021,True,end of loan
Arminia Bielefeld,Mattéo Guendouzi,22,France,Central Midfield,CM,25000000.0,Arsenal,England,0.0,out,summer,1 Bundesliga,2021,True,end of loan
Arminia Bielefeld,Dong-jun Lee,24,"Korea, South",Right Winger,RW,1200000.0,Ulsan Hyundai,"Korea, South",800000.0,in,winter,1 Bundesliga,2021,False,
Arminia Bielefeld,Marc Oliver Kempf,26,Germany,Centre-Back,CB,4500000.0,VfB Stuttgart,Germany,500000.0,in,winter,1 Bundesliga,2021,False,
Arminia Bielefeld,Kelian Nsona,19,France,Right Winger,RW,1200000.0,SM Caen,France,500000.0,in,winter,1 Bundesliga,2021,False,
Arminia Bielefeld,Fredrik Björkan,23,Norway,Left-Back,LB,2500000.0,Bodø/Glimt,Norway,0.0,in,winter,1 Bundesliga,2021,False,
